,Latitude,Longitude,Altitude (m)
0,41.95469,-87.800991,194.1
1,41.994991,-87.769279,189.1
2,41.974089,-87.824812,198.2
3,41.9216,-87.666455,179.6
4,41.891118,-87.65449100000001,181.8
5,41.867108,-87.654224,180.6
6,41.896282,-87.655232,180.7
7,41.919343,-87.694259,182.0
8,41.921965,-87.632085,178.7
9,41.688324,-87.676709,199.4
10,41.862292,-87.64886,180.6
11,41.720848,-87.666014,193.5
12,41.731922,-87.677512,200.8
13,41.891126,-87.61156,179.9
14,41.999128999999996,-87.795585,190.0
15,42.01743,-87.68776899999999,186.8
16,41.907645,-87.760886,187.5
17,41.732984,-87.649642,184.2
18,41.981964000000005,-87.812827,197.9
19,41.944869,-87.832763,191.9
20,42.011601,-87.81150600000001,197.0
21,41.94983,-87.69845699999999,178.6
22,41.979243,-87.750938,186.5
23,41.986921,-87.689778,182.6
24,41.801497999999995,-87.763416,181.3
25,41.906638,-87.701431,182.7
26,41.723195000000004,-87.64997,184.7
27,41.868077,-87.666901,180.6
28,41.869215999999994,-87.627561,179.7
29,41.662014,-87.72460799999999,187.3
30,41.961743,-87.76007,187.6
31,41.953067,-87.776792,189.0
32,41.878114000000004,-87.629798,181.4
33,41.958271,-87.702575,179.7
34,41.932094,-87.700117,181.3
35,41.994469,-87.667736,180.3
36,42.006858,-87.675919,186.2
37,41.916265,-87.800515,194.4
38,41.846075,-87.716277,181.9
39,41.918704999999996,-87.752329,188.7
40,41.682587,-87.707973,187.6
41,41.725516999999996,-87.61425799999999,181.0
42,41.948167,-87.730698,183.2
43,41.963976,-87.69181,180.1
44,41.953705,-87.733974,183.9
45,41.964242,-87.757639,187.4
46,41.990284,-87.797127,193.0
47,42.008314,-87.77792099999999,189.4
48,41.991429,-87.747113,185.7
49,41.843810999999995,-87.686763,182.4
50,41.921177,-87.79518,198.0
51,41.852652,-87.719887,181.4
52,41.857402,-87.694991,182.1
53,41.868142,-87.696269,182.5
54,41.846283,-87.656913,179.9
55,41.721474,-87.648064,184.7
56,41.869107,-87.69629300000001,182.5
57,41.719059,-87.675088,201.6
58,41.966986999999996,-87.674677,182.8
59,41.923738,-87.785288,197.5
60,41.970248,-87.787992,190.1
61,42.010412,-87.66214000000001,179.8
62,41.899229999999996,-87.716788,184.2
63,41.692555,-87.598865,184.2
64,41.94016,-87.794896,196.1
65,41.903002,-87.68826700000001,182.1
66,41.942114000000004,-87.776385,189.5
67,41.960615999999995,-87.777189,188.9
68,41.883284,-87.705085,182.8
69,41.704336,-87.70373599999999,189.9
70,41.962728000000006,-87.748367,184.1
71,41.836644,-87.677737,182.3
72,41.837084999999995,-87.729384,181.3
73,41.911823999999996,-87.726737,184.3
74,41.823065,-87.67837800000001,181.3
75,41.801179,-87.679447,182.8
76,41.800737,-87.71188000000001,182.9
77,41.778296999999995,-87.752411,189.0
78,41.77166,-87.703047,185.5
79,41.759346,-87.745602,188.9
80,41.768388,-87.678649,186.4
81,41.797616,-87.797894,181.4
82,41.781416,-87.77653199999999,187.4
83,41.773215,-87.60088,179.4
84,41.822536,-87.66634300000001,181.3
85,41.799282,-87.585487,180.1
86,41.794781,-87.615989,183.0
87,41.778748,-87.586427,179.9
88,41.766202,-87.562889,178.7
89,41.754676,-87.612922,178.8
90,41.821582,-87.62779599999999,182.8
91,41.803422999999995,-87.642984,182.0
92,41.754292,-87.590773,185.4
93,41.798697,-87.736812,183.1
94,41.776156,-87.778927,187.4
95,41.82561,-87.726549,178.8
96,41.673408,-87.599862,179.0
97,41.726465000000005,-87.585413,179.9
98,41.678618,-87.559308,178.3
99,41.737052,-87.54306700000001,179.5
100,41.740641,-87.546587,179.3
101,41.680946,-87.535198,178.2
102,41.686398,-87.531635,178.2
103,41.729669,-87.582699,178.0
104,41.704572,-87.56566600000001,179.0
105,41.74785,-87.70271600000001,188.8
106,41.775051,-87.65535600000001,182.9
107,41.644612,-87.60449799999999,179.7
108,41.733643,-87.55551,179.2
109,41.717753,-87.531657,180.0
110,41.750498,-87.605294,180.3
111,41.702723999999996,-87.536497,178.7
112,41.984809000000006,-87.728492,184.4
113,41.772846,-87.740029,189.0
114,41.825902,-87.667827,180.8
115,41.659112,-87.53869300000001,178.2
116,41.992478000000006,-87.862995,191.8
117,41.974689,-87.890615,197.2
118,41.957799,-87.930995,204.0
119,41.690422999999996,-87.656929,187.9
120,41.868533,-87.661638,180.6
121,41.675876,-87.651515,186.2
122,41.731929,-87.54854,178.5
123,41.738583,-87.56772600000001,179.2
124,41.646541,-87.543762,178.7
125,41.95477,-87.73089,184.1
126,41.933652,-87.738416,185.1
127,41.94828,-87.74134000000001,186.3
128,41.925197999999995,-87.746381,186.5
129,41.973845000000004,-87.805059,197.0
130,41.743402,-87.731435,188.9
131,41.728495,-87.60096300000001,182.2
132,41.947227000000005,-87.67145699999999,182.5
133,41.793818,-87.654234,180.5
134,41.753411,-87.63981700000001,183.6
135,41.904194,-87.756155,185.9
136,41.951865999999995,-87.72505699999999,182.4
137,41.763733,-87.742302,188.9
138,41.98728,-87.666066,180.3
139,41.912563,-87.66805500000001,182.2
140,41.965571000000004,-87.78197800000001,189.5
141,41.951878,-87.789234,194.7
142,42.009876,-87.807277,194.3
143,41.942285,-87.761726,187.9
144,41.776428,-87.627096,182.9
145,41.994679,-87.770899,187.4
146,41.738903,-87.69544300000001,190.5
147,41.753391,-87.707394,188.8
148,41.777689,-87.749149,187.6
149,41.71914,-87.669539,199.1
150,41.925652,-87.63359,179.0
151,41.717753,-87.531657,
152,41.750498,-87.605294,
153,41.702723999999996,-87.536497,
154,41.984809000000006,-87.728492,
155,41.772846,-87.740029,
156,41.825902,-87.667827,
157,41.659112,-87.53869300000001,
158,41.992478000000006,-87.862995,
159,41.974689,-87.890615,
160,41.957799,-87.930995,
161,41.690422999999996,-87.656929,
162,41.868533,-87.661638,
163,41.675876,-87.651515,
164,41.731929,-87.54854,
165,41.738583,-87.56772600000001,
166,41.646541,-87.543762,
167,41.95477,-87.73089,
168,41.933652,-87.738416,
169,41.94828,-87.74134000000001,
170,41.925197999999995,-87.746381,
171,41.973845000000004,-87.805059,
172,41.743402,-87.731435,
173,41.728495,-87.60096300000001,
174,41.947227000000005,-87.67145699999999,
175,41.793818,-87.654234,
176,41.753411,-87.63981700000001,
177,41.904194,-87.756155,
178,41.951865999999995,-87.72505699999999,
179,41.763733,-87.742302,
180,41.98728,-87.666066,
181,41.912563,-87.66805500000001,
182,41.965571000000004,-87.78197800000001,
183,41.951878,-87.789234,
184,42.009876,-87.807277,
185,41.942285,-87.761726,
186,41.776428,-87.627096,
187,41.994679,-87.770899,
188,41.738903,-87.69544300000001,
189,41.753391,-87.707394,
190,41.777689,-87.749149,
191,41.71914,-87.669539,
192,41.925652,-87.63359,
193,41.95469,-87.800991,
194,41.994991,-87.769279,
195,41.974089,-87.824812,
196,41.9216,-87.666455,
197,41.891118,-87.65449100000001,
198,41.867108,-87.654224,
199,41.896282,-87.655232,
200,41.919343,-87.694259,
201,41.921965,-87.632085,
202,41.688324,-87.676709,
203,41.862292,-87.64886,
204,41.720848,-87.666014,
205,41.731922,-87.677512,
206,41.891126,-87.61156,
207,41.999128999999996,-87.795585,
208,42.01743,-87.68776899999999,
209,41.907645,-87.760886,
210,41.732984,-87.649642,
211,41.981964000000005,-87.812827,
212,41.944869,-87.832763,
213,42.011601,-87.81150600000001,
214,41.94983,-87.69845699999999,
215,41.979243,-87.750938,
216,41.986921,-87.689778,
217,41.801497999999995,-87.763416,
218,41.906638,-87.701431,
219,41.723195000000004,-87.64997,
220,41.868077,-87.666901,
221,41.869215999999994,-87.627561,
222,41.662014,-87.72460799999999,
223,41.961743,-87.76007,
224,41.953067,-87.776792,
225,41.878114000000004,-87.629798,
226,41.958271,-87.702575,
227,41.932094,-87.700117,
228,41.994469,-87.667736,
229,42.006858,-87.675919,
230,41.916265,-87.800515,
231,41.846075,-87.716277,
232,41.918704999999996,-87.752329,
233,41.682587,-87.707973,
234,41.725516999999996,-87.61425799999999,
235,41.948167,-87.730698,
236,41.963976,-87.69181,
237,41.953705,-87.733974,
238,41.964242,-87.757639,
239,41.990284,-87.797127,
240,42.008314,-87.77792099999999,
241,41.991429,-87.747113,
242,41.843810999999995,-87.686763,
243,41.921177,-87.79518,
244,41.852652,-87.719887,
245,41.857402,-87.694991,
246,41.868142,-87.696269,
247,41.846283,-87.656913,
248,41.721474,-87.648064,
249,41.869107,-87.69629300000001,
250,41.719059,-87.675088,
251,41.966986999999996,-87.674677,
252,41.923738,-87.785288,
253,41.970248,-87.787992,
254,42.010412,-87.66214000000001,
255,41.899229999999996,-87.716788,
256,41.692555,-87.598865,
257,41.94016,-87.794896,
258,41.903002,-87.68826700000001,
259,41.942114000000004,-87.776385,
260,41.960615999999995,-87.777189,
261,41.883284,-87.705085,
262,41.704336,-87.70373599999999,
263,41.962728000000006,-87.748367,
264,41.836644,-87.677737,
265,41.837084999999995,-87.729384,
266,41.911823999999996,-87.726737,
267,41.823065,-87.67837800000001,
268,41.801179,-87.679447,
269,41.800737,-87.71188000000001,
270,41.778296999999995,-87.752411,
271,41.77166,-87.703047,
272,41.759346,-87.745602,
273,41.768388,-87.678649,
274,41.797616,-87.797894,
275,41.781416,-87.77653199999999,
276,41.773215,-87.60088,
277,41.822536,-87.66634300000001,
278,41.799282,-87.585487,
279,41.794781,-87.615989,
280,41.778748,-87.586427,
281,41.766202,-87.562889,
282,41.754676,-87.612922,
283,41.821582,-87.62779599999999,
284,41.803422999999995,-87.642984,
285,41.754292,-87.590773,
286,41.798697,-87.736812,
287,41.776156,-87.778927,
288,41.82561,-87.726549,
289,41.673408,-87.599862,
290,41.726465000000005,-87.585413,
291,41.678618,-87.559308,
292,41.737052,-87.54306700000001,
293,41.740641,-87.546587,
294,41.680946,-87.535198,
295,41.686398,-87.531635,
296,41.729669,-87.582699,
297,41.704572,-87.56566600000001,
298,41.74785,-87.70271600000001,
299,41.775051,-87.65535600000001,
300,41.644612,-87.60449799999999,
301,41.733643,-87.55551,
